ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2025-10-08T01:13:49+00:00,1759886029,41,3,1,281,10,4,0,0,2025-10-08T04:13:49+03:00,2025-10-07T21:13:49-04:00,551e4f145490,csv-ledger-v1
2025-10-08T02:55:30+00:00,1759892130,41,3,2,281,10,4,0,0,2025-10-08T05:55:30+03:00,2025-10-07T22:55:30-04:00,6835190b2522,csv-ledger-v1
2025-10-08T03:29:15+00:00,1759894155,41,3,3,281,10,4,0,0,2025-10-08T06:29:15+03:00,2025-10-07T23:29:15-04:00,2939fdc8b0be,csv-ledger-v1
2025-10-08T04:19:26+00:00,1759897166,41,3,4,281,10,4,0,0,2025-10-08T07:19:26+03:00,2025-10-08T00:19:26-04:00,373c2a857472,csv-ledger-v1
2025-10-08T05:16:13+00:00,1759900573,41,3,5,281,10,4,0,0,2025-10-08T08:16:13+03:00,2025-10-08T01:16:13-04:00,1ba4d11f4dc4,csv-ledger-v1
2025-10-08T06:25:14+00:00,1759904714,41,3,6,281,10,4,0,0,2025-10-08T09:25:14+03:00,2025-10-08T02:25:14-04:00,9781a457d8dc,csv-ledger-v1
2025-10-08T07:16:01+00:00,1759907761,41,3,7,281,10,4,0,0,2025-10-08T10:16:01+03:00,2025-10-08T03:16:01-04:00,8b09450768c7,csv-ledger-v1
2025-10-08T08:22:41+00:00,1759911761,41,3,8,281,10,4,0,0,2025-10-08T11:22:41+03:00,2025-10-08T04:22:41-04:00,da2d669f3f31,csv-ledger-v1
2025-10-08T09:18:11+00:00,1759915091,41,3,9,281,10,4,0,0,2025-10-08T12:18:11+03:00,2025-10-08T05:18:11-04:00,c420b1ad15a7,csv-ledger-v1
2025-10-08T10:17:18+00:00,1759918638,41,3,10,281,10,4,0,0,2025-10-08T13:17:18+03:00,2025-10-08T06:17:18-04:00,eff100045fb1,csv-ledger-v1
2025-10-08T11:13:52+00:00,1759922032,41,3,11,281,10,4,0,0,2025-10-08T14:13:52+03:00,2025-10-08T07:13:52-04:00,34218d7ea836,csv-ledger-v1
2025-10-08T12:35:30+00:00,1759926930,41,3,12,281,10,4,0,0,2025-10-08T15:35:30+03:00,2025-10-08T08:35:30-04:00,c262202c9830,csv-ledger-v1
2025-10-08T13:27:23+00:00,1759930043,41,3,13,281,10,4,0,0,2025-10-08T16:27:23+03:00,2025-10-08T09:27:23-04:00,9933ba370a04,csv-ledger-v1
2025-10-08T14:16:58+00:00,1759933018,41,3,14,281,10,4,0,0,2025-10-08T17:16:58+03:00,2025-10-08T10:16:58-04:00,92b34673edb7,csv-ledger-v1
2025-10-08T15:17:53+00:00,1759936673,41,3,15,281,10,4,0,0,2025-10-08T18:17:53+03:00,2025-10-08T11:17:53-04:00,101fd0a93cbc,csv-ledger-v1
2025-10-08T16:20:39+00:00,1759940439,41,3,16,281,10,4,0,0,2025-10-08T19:20:39+03:00,2025-10-08T12:20:39-04:00,5bdfe71fbc85,csv-ledger-v1
2025-10-08T17:14:42+00:00,1759943682,41,3,17,281,10,4,0,0,2025-10-08T20:14:42+03:00,2025-10-08T13:14:42-04:00,0e8cec3fa41f,csv-ledger-v1
